customer_concern,susan_response,concern_category,resolution_effectiveness
schedule,"Congratulations, I am glad we were able to ensure that your insurance company fully approved your roof/siding/gutters/etc replacement!
“So the next steps are, as I mentioned last time we met:
“One of our Project Coordinators will be reaching out to you to schedule a Project Meeting to go over your full scope of work. “Based on the estimate, your insurance company will be sending you [ACV AMOUNT] shortly. This will be used as your down payment",scheduling,high
schedule,"“To get those scheduled, I will need you to sign these 2 documents allowing us to do that. When you see the documents, it will have a cost attached, but don’t worry! Read the bold print and you will see that you, as the homeowner, are never responsible for this cost. ”
Schedule a time to meet with the HO to sign or let them know you will be sending it out for eSign",scheduling,high
schedule,"Contingency & Claim Authorization
After the claim: “Okay, perfect! Like they said, an adjuster will be reaching out to you in the next 24 to 48 hours to schedule the inspection. The absolute most important part of this process is that I am at this inspection. Insurance companies don’t want to pay out",scheduling,high
schedule,"They will reach out to schedule a project meeting where they will walk you through all of the finer details. This is the fun part where you will get to pick our products and colors. *Of course if you have anything else you would like us to do beyond the insurance approval, your Project Coordinator could price that out for you",scheduling,high
schedule,"Always ask for claim number
If Claim Rep wants to schedule the inspection now (only Allstate) – have 3 available times listed out for the HO
See example on next page
Example Customer Info Sheet
Let them know you would like to file a claim for hail and wind damage. What was damaged: Roof and Aluminum siding
Date of the storm: September 8th 2023
Time of the storm: Around 5pm
Size of hail: 1 inch
Type of shingle: Asphalt
Type of siding: Aluminum
Interior Damage: Yes, 1 bedroom upstairs
Is the house livable: Yes
Was there any personal property damaged: No
Did they lose power: No
Have you selected a contractor: Yes, Roof ER out of Vienna VA. All my information is on the business card
Did they give you an estimate: No
Is your roof steeper than a staircase: No
How high is your roof/is it difficult to access with most ladders: No, it has 1 story access
After they say the claim is filed, please ask for the Claim Number
After they provide that, ask if an adjuster has been assigned",scheduling,high
schedule,"He was a re inspection IA that ended up getting approved the two final slopes that were denied  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Jeremy | SeekNow | Inspector  | N | N | If you get this guy reschedule immediately he is not out to help contractors he is highly against us  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Axel | SeekNow | Inspector  | N | N | If you get this guy reschedule immediately he is not out to help contractors he is highly against us  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Dan | SeekNow | Inspector  | N | N | If you get this guy reschedule immediately he is not out to help contractors he is highly against us  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Trevor Franklin's | Safeco | Adj | Y | N | Amazing experience, ESX helps. He sent out a seek now rep. Buyer |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Ryan Richardson | Cumberland | IA | N | Y | Great guy",scheduling,high
schedule,"You'll be contacted by the adjuster and you can schedule that meeting directly in your portal or simply give me a call!""  
 
 
 
 
 
 
 
 
 
 
 
 
INTEGRITY  
 QUALITY  
 SIMPLICITY  
Denied : Retail  
• Reminders  
o You should be pushing to set up a retail meeting if the damage is not great (relative to 
which insurance we are dealing with) or the homeowner is not all the way on board with 
the reinspection process. (This stage is predicated on the fact that we should only b e 
signing up homes that NEED a new roof/siding/etc. , i",scheduling,high
schedule,"What are the next 2 sentences after they agree to let you do the inspection?
What is the last sentence of the Initial Pitch Script?

[Slide 9]
Field Portal App
The Field Portal App will be used mostly on your phone (but is also useable on your iPad)
Later on this week, we will review using the Field Portal App on a laptop or desktop which is the most ideal way to keep your jobs organized
On the Field Portal App, you can:
Track your jobs and what stage they are in
Review Metrics
Pin houses and create leads
Create and upload your Photo reports
Schedule customer-related events
Review Tasks and Messages
Check the Trade Calendar to see when your installs are going up

[Slide 10]
Field Portal App
Pinning Houses

[Slide 11]
Field Portal App
Turning Pin into a Lead




Only when inspection scheduled

[Slide 12]
Objections
Common Objections
“not interested”
“I don’t have enough time”
“my roof is in good shape”
“I just had it checked”
“I don’t have the money for anything right now”
“I have a roofer knock my door at least 5 times a week”
“my roof is only 18 years old and is a 50 year roof”
Tips:
Always react positively with an agreeable response and attitude
Ask questions when appropriate
Repeat the customers’ objections when appropriate

[Slide 13]
Initial Pitch
Work in groups – try to see how much you have memorized

[Slide 14]
Initial Pitch
Please memorize the whole initial pitch in a Non-Storm Environment
Please also be familiar with the Storm Environment Pitch

[Slide 15]
Shingles

[Slide 16]
Discontinued Shingles

[Slide 17]
The Sales Cycle:Generating New Business
KNOCK KNOCK KNOCK
Make it a goal to knock 70 doors minimum per day
Pin the houses
Take good (quick) notes
KNOCK SOME MORE

[Slide 18]
The Sales Cycle:Inspections
Conduct the inspection in the order of the inspection
Think about safety
If you do not feel safe, DO NOT DO THE INSPECTION
Always ensure ladder is safely placed
Safety items you should consider:
Cougar Paws (Get this before anything else)
Bungee Cords
Pitch Hopper
Other roofing items – reach out to discuss additional safety items



[Slide 19]
The Sales Cycle:Adjuster Meeting
Adjuster meeting typically happens within 2 – 7 days
You meet with the insurance adjuster
You will also be creating your formal photo report this day
The decision from the insurance company usually comes within 1 – 10 business days
Once a decision is made, they usually only send the estimate to the homeowner
Ensure the homeowner is prepped to send this to you if the insurance company does not send it to you
Don’t worry – we will review this in much more detail later – we just want to ensure you understand the timeline at this point

[Slide 20]
The Sales Cycle:Project Meeting
After you send the estimate to Amber (estimates@theroofdocs. com) and to me, we will begin to review the estimate and conduct what is called a Project Review
Within a few days, the job will be assigned to one of our Project Coordinators who will schedule a Project Meeting with your homeowner
This typically happens within a week of receiving the estimate
After that meeting, the homeowner will sign the Project Documents and submit Downpayment. The Downpayment will typically be the first payment the insurance company sends",scheduling,high
deductible,"As we talked about earlier, your only cost out of this will be your deductible once we finish all the work. “Upon completion of the installation, we will review and inspect all of our work to ensure it is to your satisfaction. Then we will send in a completion form once you sign off on the complete project",general,high
deductible,"“This basic/simple agreement backs you as the homeowner by guaranteeing you that your only cost will be your deductible if we get you fully approved. If it is a partial approval or denial, first we will fight and jump through the necessary hoops to turn that into a full approval; but if we are not able to get you fully approved, this contract is null and void and you do not owe us a penny. ”
“What’s in it for us, is we just want to get to do the work",general,high
